,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9781509858637,Medical,dataset/Medical/0000001.jpg
1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,$,15.0,9780141033570,Medical,dataset/Medical/0000002.jpg
2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Medical,dataset/Medical/0000003.jpg
3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,$,13.9,9781845298258,Medical,dataset/Medical/0000004.jpg
4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Medical,dataset/Medical/0000005.jpg
5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,$,14.8,9780330523622,Medical,dataset/Medical/0000006.jpg
6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780722405.jpg,The 8-week Blood Sugar Diet,Michael Mosley,Paperback,4.0,8.85,$,11.3,9781780722405,Medical,dataset/Medical/0000007.jpg
7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723044.jpg,The Clever Guts Diet,Michael Mosley,Paperback,4.0,8.92,$,11.3,9781780723044,Medical,dataset/Medical/0000008.jpg
8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351642.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,18.31,$,,9780241351642,Medical,dataset/Medical/0000009.jpg
9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846685828.jpg,Being Mortal,Atul Gawande,Paperback,4.5,9.03,$,11.5,9781846685828,Medical,dataset/Medical/0000010.jpg
10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228601.jpg,Gut,Giulia Enders,Paperback,4.0,10.49,$,11.4,9781925228601,Medical,dataset/Medical/0000011.jpg
11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141038872.jpg,The Brain That Changes Itself,Norman Doidge,Paperback,4.0,11.03,$,13.9,9780141038872,Medical,dataset/Medical/0000012.jpg
12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401954406.jpg,Medical Medium Liver Rescue,Anthony William,Hardback,4.0,23.76,$,32.5,9781401954406,Medical,dataset/Medical/0000013.jpg
13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141976143.jpg,Wreck This Journal,Keri Smith,Paperback,4.0,9.59,$,12.9,9780141976143,Medical,dataset/Medical/0000014.jpg
14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351635.jpg,12 Rules for Life,Jordan B. Peterson,Hardback,4.0,20.99,$,25.2,9780241351635,Medical,dataset/Medical/0000015.jpg
15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141988511.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,10.26,$,12.9,9780141988511,Medical,dataset/Medical/0000016.jpg
16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9548/9780954852023.jpg,Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,Paperback,4.0,19.48,$,26.5,9780954852023,Medical,dataset/Medical/0000017.jpg
